Date,Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
2023-04-04T16:27:13+0200,Trade,SELL_TO_OPEN,MCD   230519P00280000,Equity Option,Sold 1 MCD 05/19/23 Put 280.00 @ 5.60,560.00,1,560.00,-1.00,-0.142,100,MCD,MCD,5/19/23,280.0,PUT,262650317
2023-04-04T16:27:13+0200,Trade,BUY_TO_OPEN,MCD   230519P00285000,Equity Option,Bought 1 MCD 05/19/23 Put 285.00 @ 7.75,-775.00,1,-775.00,-1.00,-0.13,100,MCD,MCD,5/19/23,285.0,PUT,262650317
2023-04-04T16:24:34+0200,Trade,BUY_TO_OPEN,GLD   230505C00196000,Equity Option,Bought 1 GLD 05/05/23 Call 196.00 @ 1.82,-182.00,1,-182.00,-1.00,-0.13,100,GLD,GLD,5/05/23,196.0,CALL,262638670
2023-04-04T16:24:34+0200,Trade,SELL_TO_OPEN,GLD   230505C00193000,Equity Option,Sold 1 GLD 05/05/23 Call 193.00 @ 2.54,254.00,1,254.00,-1.00,-0.142,100,GLD,GLD,5/05/23,193.0,CALL,262638670
2023-04-04T16:24:34+0200,Trade,SELL_TO_OPEN,GLD   230505P00178500,Equity Option,Sold 1 GLD 05/05/23 Put 178.50 @ 0.68,68.00,1,68.00,-1.00,-0.142,100,GLD,GLD,5/05/23,178.5,PUT,262638670
2023-04-04T16:24:34+0200,Trade,BUY_TO_OPEN,GLD   230505P00175500,Equity Option,Bought 1 GLD 05/05/23 Put 175.50 @ 0.40,-40.00,1,-40.00,-1.00,-0.13,100,GLD,GLD,5/05/23,175.5,PUT,262638670
2023-04-03T15:33:47+0200,Trade,SELL_TO_CLOSE,XLF   230428P00027000,Equity Option,Sold 1 XLF 04/28/23 Put 27.00 @ 0.04,4.00,1,4.00,0.00,-0.142,100,XLF,XLF,4/28/23,27.0,PUT,261884230
2023-04-03T15:33:47+0200,Trade,BUY_TO_CLOSE,XLF   230428P00030000,Equity Option,Bought 1 XLF 04/28/23 Put 30.00 @ 0.22,-22.00,1,-22.00,0.00,-0.13,100,XLF,XLF,4/28/23,30.0,PUT,261884230
2023-04-01T16:09:40+0200,Money Movement,,,,Regulatory fee adjustment,-0.12,0,,--,0.00,,,,,,,
2023-03-31T21:54:13+0200,Trade,SELL_TO_CLOSE,TLT   230421P00097000,Equity Option,Sold 1 TLT 04/21/23 Put 97.00 @ 0.06,6.00,1,6.00,0.00,-0.142,100,TLT,TLT,4/21/23,97.0,PUT,262363040
2023-03-31T21:54:13+0200,Trade,BUY_TO_CLOSE,TLT   230421P00094000,Equity Option,Bought 1 TLT 04/21/23 Put 94.00 @ 0.03,-3.00,1,-3.00,0.00,-0.13,100,TLT,TLT,4/21/23,94.0,PUT,262363040
2023-03-31T20:12:22+0200,Trade,SELL_TO_CLOSE,DIA   230421C00335000,Equity Option,Sold 1 DIA 04/21/23 Call 335.00 @ 3.15,315.00,1,315.00,0.00,-0.142,100,DIA,DIA,4/21/23,335.0,CALL,262309336
2023-03-31T20:12:22+0200,Trade,BUY_TO_CLOSE,DIA   230421C00330000,Equity Option,Bought 1 DIA 04/21/23 Call 330.00 @ 6.00,-600.00,1,-600.00,0.00,-0.13,100,DIA,DIA,4/21/23,330.0,CALL,262309336
2023-03-31T18:45:45+0200,Trade,SELL_TO_CLOSE,TSLA  230421C00215000,Equity Option,Sold 1 TSLA 04/21/23 Call 215.00 @ 9.17,917.00,1,917.00,0.00,-0.142,100,TSLA,TSLA,4/21/23,215.0,CALL,262272341
2023-03-31T18:45:45+0200,Trade,BUY_TO_CLOSE,TSLA  230421C00210000,Equity Option,Bought 1 TSLA 04/21/23 Call 210.00 @ 11.23,"-1,123.00",1,"-1,123.00",0.00,-0.13,100,TSLA,TSLA,4/21/23,210.0,CALL,262272341
2023-03-31T18:45:45+0200,Trade,BUY_TO_CLOSE,TSLA  230421P00165000,Equity Option,Bought 1 TSLA 04/21/23 Put 165.00 @ 1.72,-172.00,1,-172.00,0.00,-0.13,100,TSLA,TSLA,4/21/23,165.0,PUT,262272341
2023-03-31T18:45:45+0200,Trade,SELL_TO_CLOSE,TSLA  230421P00160000,Equity Option,Sold 1 TSLA 04/21/23 Put 160.00 @ 1.28,128.00,1,128.00,0.00,-0.142,100,TSLA,TSLA,4/21/23,160.0,PUT,262272341
2023-03-31T18:43:20+0200,Trade,BUY_TO_OPEN,GLD   230512P00175000,Equity Option,Bought 1 GLD 05/12/23 Put 175.00 @ 0.75,-75.00,1,-75.00,-1.00,-0.13,100,GLD,GLD,5/12/23,175.0,PUT,262275017
2023-03-31T18:43:20+0200,Trade,SELL_TO_OPEN,GLD   230512P00178000,Equity Option,Sold 1 GLD 05/12/23 Put 178.00 @ 1.36,136.00,1,136.00,-1.00,-0.142,100,GLD,GLD,5/12/23,178.0,PUT,262275017
2023-03-31T18:43:20+0200,Trade,BUY_TO_OPEN,GLD   230512C00197000,Equity Option,Bought 1 GLD 05/12/23 Call 197.00 @ 1.03,-103.00,1,-103.00,-1.00,-0.13,100,GLD,GLD,5/12/23,197.0,CALL,262275017
2023-03-31T18:43:20+0200,Trade,SELL_TO_OPEN,GLD   230512C00194000,Equity Option,Sold 1 GLD 05/12/23 Call 194.00 @ 1.45,145.00,1,145.00,-1.00,-0.142,100,GLD,GLD,5/12/23,194.0,CALL,262275017
2023-03-31T18:35:31+0200,Trade,SELL_TO_OPEN,TLT   230421P00094000,Equity Option,Sold 1 TLT 04/21/23 Put 94.00 @ 0.04,4.00,1,4.00,-1.00,-0.142,100,TLT,TLT,4/21/23,94.0,PUT,262271381
2023-03-31T18:35:31+0200,Trade,BUY_TO_OPEN,TLT   230421P00097000,Equity Option,Bought 1 TLT 04/21/23 Put 97.00 @ 0.09,-9.00,1,-9.00,-1.00,-0.13,100,TLT,TLT,4/21/23,97.0,PUT,262271381
2023-03-31T16:50:33+0200,Trade,BUY_TO_CLOSE,RIOT  230421P00007000,Equity Option,Bought 1 RIOT 04/21/23 Put 7.00 @ 0.17,-17.00,1,-17.00,0.00,-0.13,100,RIOT,RIOT,4/21/23,7.0,PUT,262016659
